[data] data/sft_v1.jsonl: kept 65997, dropped 2 over 3328 tok (0.00%); p50=340 p99=2516 max=3319; total=34.7M tokens
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3ForConditionalGeneration is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3Model is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in SiglipVisionModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3TextModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.23it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.51it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.46it/s]
[model] trainable 3.88B, frozen 0.42B
[plan] 4544 micro-batches/epoch, accum=8, 568 optimiser steps
[140/568] loss=0.3004 gn=1.23 lr=8.93e-06 tok/s=9430 elapsed=15.1m eta=46.3m mem=65.1G
[150/568] loss=0.3313 gn=1.03 lr=8.76e-06 tok/s=9430 elapsed=16.2m eta=45.2m mem=65.1G
[160/568] loss=0.3307 gn=1.35 lr=8.57e-06 tok/s=9422 elapsed=17.3m eta=44.1m mem=65.1G
[170/568] loss=0.3185 gn=1.16 lr=8.38e-06 tok/s=9423 elapsed=18.4m eta=43.1m mem=65.1G
[180/568] loss=0.3201 gn=1.21 lr=8.17e-06 tok/s=9421 elapsed=19.5m eta=42.0m mem=65.1G
[190/568] loss=0.3233 gn=3.47 lr=7.96e-06 tok/s=9428 elapsed=20.6m eta=40.9m mem=65.1G
[200/568] loss=0.3137 gn=1.12 lr=7.74e-06 tok/s=9428 elapsed=21.6m eta=39.8m mem=65.1G
[210/568] loss=0.3100 gn=1.17 lr=7.51e-06 tok/s=9434 elapsed=22.7m eta=38.7m mem=65.1G
[220/568] loss=0.3254 gn=1.11 lr=7.27e-06 tok/s=9436 elapsed=23.8m eta=37.6m mem=65.1G
[230/568] loss=0.3260 gn=1.00 lr=7.03e-06 tok/s=9434 elapsed=24.9m eta=36.5m mem=65.1G
[240/568] loss=0.2938 gn=1.32 lr=6.77e-06 tok/s=9438 elapsed=25.9m eta=35.4m mem=65.1G
[250/568] loss=0.3060 gn=1.62 lr=6.52e-06 tok/s=9441 elapsed=27.0m eta=34.3m mem=65.1G
[260/568] loss=0.3102 gn=1.16 lr=6.26e-06 tok/s=9438 elapsed=28.1m eta=33.3m mem=65.1G
[270/568] loss=0.3042 gn=1.23 lr=6.00e-06 tok/s=9440 elapsed=29.1m eta=32.2m mem=65.1G
[280/568] loss=0.3056 gn=1.08 lr=5.73e-06 tok/s=9439 elapsed=30.2m eta=31.1m mem=65.1G
`torch_dtype` is deprecated! Use `dtype` instead!
[save] ckpts/exp-02/step284
[290/568] loss=0.3144 gn=0.96 lr=5.46e-06 tok/s=9365 elapsed=31.5m eta=30.2m mem=65.1G
[300/568] loss=0.3087 gn=1.02 lr=5.19e-06 tok/s=9366 elapsed=32.6m eta=29.1m mem=65.1G
[310/568] loss=0.2982 gn=1.23 lr=4.92e-06 tok/s=9368 elapsed=33.7m eta=28.0m mem=65.1G
[320/568] loss=0.3165 gn=1.05 lr=4.65e-06 tok/s=9370 elapsed=34.8m eta=27.0m mem=65.1G
[330/568] loss=0.3066 gn=0.94 lr=4.38e-06 tok/s=9372 elapsed=35.9m eta=25.9m mem=65.1G
[340/568] loss=0.3057 gn=1.09 lr=4.11e-06 tok/s=9376 elapsed=36.9m eta=24.8m mem=65.1G
[350/568] loss=0.2935 gn=1.13 lr=3.85e-06 tok/s=9380 elapsed=38.0m eta=23.7m mem=65.1G
[360/568] loss=0.2973 gn=0.94 lr=3.58e-06 tok/s=9381 elapsed=39.1m eta=22.6m mem=65.1G
[370/568] loss=0.3161 gn=1.03 lr=3.33e-06 tok/s=9382 elapsed=40.1m eta=21.5m mem=65.1G
[380/568] loss=0.3038 gn=1.13 lr=3.07e-06 tok/s=9383 elapsed=41.2m eta=20.4m mem=65.1G
[390/568] loss=0.3157 gn=1.18 lr=2.83e-06 tok/s=9386 elapsed=42.3m eta=19.3m mem=65.1G
[400/568] loss=0.2801 gn=0.83 lr=2.59e-06 tok/s=9390 elapsed=43.4m eta=18.2m mem=65.1G
[410/568] loss=0.3025 gn=0.97 lr=2.35e-06 tok/s=9390 elapsed=44.4m eta=17.1m mem=65.1G
[420/568] loss=0.2927 gn=1.32 lr=2.13e-06 tok/s=9391 elapsed=45.5m eta=16.0m mem=65.1G
[430/568] loss=0.2888 gn=0.98 lr=1.91e-06 tok/s=9393 elapsed=46.6m eta=14.9m mem=65.1G
[440/568] loss=0.2878 gn=1.05 lr=1.70e-06 tok/s=9394 elapsed=47.7m eta=13.9m mem=65.1G
[450/568] loss=0.3053 gn=1.09 lr=1.50e-06 tok/s=9396 elapsed=48.7m eta=12.8m mem=65.1G
[460/568] loss=0.2947 gn=0.96 lr=1.31e-06 tok/s=9396 elapsed=49.8m eta=11.7m mem=65.1G
[470/568] loss=0.2892 gn=1.18 lr=1.14e-06 tok/s=9398 elapsed=50.9m eta=10.6m mem=65.1G
[480/568] loss=0.2802 gn=1.42 lr=9.71e-07 tok/s=9400 elapsed=52.0m eta=9.5m mem=65.2G
[490/568] loss=0.2853 gn=1.22 lr=8.17e-07 tok/s=9401 elapsed=53.1m eta=8.4m mem=65.2G
[500/568] loss=0.2725 gn=1.12 lr=6.74e-07 tok/s=9404 elapsed=54.1m eta=7.4m mem=65.2G
[510/568] loss=0.3116 gn=1.39 lr=5.45e-07 tok/s=9403 elapsed=55.2m eta=6.3m mem=65.2G
[520/568] loss=0.2782 gn=0.90 lr=4.29e-07 tok/s=9404 elapsed=56.3m eta=5.2m mem=65.2G
[530/568] loss=0.2785 gn=1.21 lr=3.26e-07 tok/s=9406 elapsed=57.3m eta=4.1m mem=65.2G
[540/568] loss=0.2916 gn=0.88 lr=2.36e-07 tok/s=9405 elapsed=58.4m eta=3.0m mem=65.2G
[550/568] loss=0.2873 gn=1.08 lr=1.61e-07 tok/s=9407 elapsed=59.5m eta=1.9m mem=65.2G
[560/568] loss=0.2868 gn=0.97 lr=1.00e-07 tok/s=9409 elapsed=60.6m eta=0.9m mem=65.2G
[save] ckpts/exp-02/final
[done] 1.03 h
