cell,card,family,execution,completed_fits,completed_sft,completed_rft,completed_supervised,aborted_full_intent,self_sample_mix,elapsed_h,card_wall_h,cumulative_training_card_wall_h,training_steps,epochs,rows,decision,count_audited,audit_note,source
c02r02,exp-01,decode-config,completed,0,0,0,0,0,,0.15,0.09,0.0,,,150.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/task/memory/cards/exp-01.yaml
c02r02,exp-02,sft,completed,1,1,0,1,0,,0.42,1.53,1.53,758,1.0,117473.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/task/memory/cards/exp-02.yaml
c02r02,exp-03,decode-config,completed,0,1,0,1,0,,2.08,0.08,1.53,,,117473.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/task/memory/cards/exp-03.yaml
c02r02,exp-04,rft,completed,1,1,1,2,0,,3.43,1.18,2.71,589,1.0,99161.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/task/memory/cards/exp-04.yaml
c02r02,exp-05,sft,completed,1,2,1,3,0,True,4.82,2.02,4.73,1035,1.0,184634.0,adopt,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/task/memory/cards/exp-05.yaml
c02r02,exp-06,decode-config,completed,0,2,1,3,0,,7.02,0.07,4.73,,,99161.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/task/memory/cards/exp-06.yaml
c02r02,exp-07,merge,completed,0,2,1,3,0,,7.1,0.05,4.73,,,184634.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/task/memory/cards/exp-07.yaml
c02r02,exp-08,other,completed,0,2,1,3,0,,7.35,0.12,4.73,,,184634.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/task/memory/cards/exp-08.yaml
c02r03,exp-01,decode-config,completed,0,0,0,0,0,,0.2,0.05,0.0,,,150.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-01.yaml
c02r03,exp-02,sft,completed,1,1,0,1,0,,1.1,1.82,1.82,1993,1,149946.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-02.yaml
c02r03,exp-03,rft,completed,2,1,2,3,0,True,6.4,0.81,2.63,931,1,59709.0,reject,True,First 931-step full schedule has train_runtime 2923.6621 epoch1.0 and save failure; retrain has train_runtime 2918.0819 epoch1.0. Count 2 RFT fits.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-03.yaml
c02r03,exp-04,merge,completed,0,1,2,3,0,,5.7,0.34,2.63,,,2.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-04.yaml
c02r03,exp-05,sft,completed,1,2,2,4,0,,6.0,0.82,3.45,858,1,44946.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-05.yaml
c02r03,exp-06,merge,completed,0,2,2,4,0,,6.4,0.33,3.45,,,3.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-06.yaml
c02r03,exp-07,decode-config,completed,0,2,2,4,0,,6.5,0.45,3.45,,,500.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-07.yaml
c02r03,exp-08,merge,completed,0,2,2,4,0,,6.9,0.28,3.45,,,2.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-08.yaml
c02r03,exp-09,decode-config,completed,0,2,2,4,0,,7.0,0.15,3.45,,,150.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-09.yaml
c02r03,exp-10,decode-config,completed,0,2,2,4,0,,7.0,0.33,3.45,,,500.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-10.yaml
c02r03,exp-11,decode-config,completed,0,2,2,4,0,,7.6,0.18,3.45,,,150.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-11.yaml
c02r03,exp-12,decode-config,completed,0,2,2,4,0,,7.7,0.15,3.45,,,150.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/task/memory/cards/exp-12.yaml
c02r04,exp-01,other,completed,0,0,0,0,0,,0.15,0.25,0.0,,,150.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617/task/memory/cards/exp-01.yaml
c02r04,exp-02,sft,completed,1,1,0,1,0,,0.55,1.98,1.98,1234,1.0,151404.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617/task/memory/cards/exp-02.yaml
c02r04,exp-03,decode-config,completed,0,1,0,1,0,,2.68,0.22,1.98,,,1.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617/task/memory/cards/exp-03.yaml
c02r04,exp-04,sft,completed,1,2,0,2,0,,2.9,1.89,3.87,1195,1.0,152227.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617/task/memory/cards/exp-04.yaml
c02r04,exp-05,rft,completed,2,2,2,4,0,True,4.8,1.55,5.42,479,1.0,323382.0,adopt,True,"First launch reaches 479/479, fails save; restarted from scratch. Count 2 RFT fits.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617/task/memory/cards/exp-05.yaml
c02r04,exp-06,other,completed,0,2,2,4,0,,7.37,0.35,5.42,,,1.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617/task/memory/cards/exp-06.yaml
c02r04,exp-07,merge,completed,0,2,2,4,0,,7.57,0.6,5.42,,,1.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617/task/memory/cards/exp-07.yaml
c02r05,exp-01,decode-config,completed,0,0,0,0,0,,0.1,0.06,0.0,,,150.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/task/memory/cards/exp-01.yaml
c02r05,exp-02,sft,completed,1,1,0,1,0,,0.7,1.18,1.18,1719,1,74254.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/task/memory/cards/exp-02.yaml
c02r05,exp-03,decode-config,completed,0,1,0,1,0,,2.1,0.13,1.18,,,74254.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/task/memory/cards/exp-03.yaml
c02r05,exp-04,rft,completed,1,1,1,2,0,,3.0,1.9,3.08,2767,1,88539.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/task/memory/cards/exp-04.yaml
c02r05,exp-05,merge,completed,0,1,1,2,0,,5.2,0.15,3.08,,,88539.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/task/memory/cards/exp-05.yaml
c02r05,exp-06,sft,completed,1,2,1,3,0,True,5.3,1.35,4.43,1875,1,88539.0,adopt,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/task/memory/cards/exp-06.yaml
c02r05,exp-07,sft,completed,1,3,1,4,0,True,6.6,1.32,5.75,1875,1,88539.0,iterate,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/task/memory/cards/exp-07.yaml
c02r05,exp-08,decode-config,completed,0,3,1,4,0,,8.1,0.5,5.75,,,88539.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/task/memory/cards/exp-08.yaml
c04r01,exp-01,other,completed,0,0,0,0,0,,0.15,0.05,0.0,,,1.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684/task/memory/cards/exp-01.yaml
c04r01,exp-02,sft,completed,1,1,0,1,0,,0.55,1.6,1.6,3849,1.0,124966.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684/task/memory/cards/exp-02.yaml
c04r01,exp-03,sft,failed,0,1,0,1,1,False,2.25,1.18,2.78,2000,1.0,129971.0,iterate,True,"Card pitfalls/relock records an incomplete full-intent launch; aborted count is a known lower bound, not an exhaustive runtime census.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684/task/memory/cards/exp-03.yaml
c04r01,exp-04,sft,completed,1,2,0,2,0,,3.55,2.4,5.18,4035,1.0,129971.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684/task/memory/cards/exp-04.yaml
c04r01,exp-05,sft,completed,1,3,0,3,0,,6.02,2.02,7.2,3412,1.0,109955.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684/task/memory/cards/exp-05.yaml
c04r01,exp-06,sft,completed,1,4,0,4,0,,8.25,0.95,8.15,1551,1.0,49971.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684/task/memory/cards/exp-06.yaml
c04r02,exp-01,other,completed,0,0,0,0,0,,0.1,0.06,0.0,,,150.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-01.yaml
c04r02,exp-02,sft,completed,1,1,0,1,0,False,0.35,0.28,0.28,469,1,15000.0,adopt,True,"Deliberate scored 15k-row full-parameter pilot reaches its planned epoch; count as1 completed schedule, not an unscored pipeline smoke.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-02.yaml
c04r02,exp-03,sft,completed,1,2,0,2,1,False,0.95,0.44,0.72,469,1,15000.0,adopt,True,"Initial full-intent pilot OOMs at1/469; bs8->4 retry completes469/469. Pilot is substantive scored one-epoch fit; count1 completed, >=1 partial. Deliberate scored 15k-row full-parameter pilot reaches its planned epoch; count as1 completed schedule, not an unscored pipeline smoke.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-03.yaml
c04r02,exp-04,decode-config,completed,0,2,0,2,0,,1.55,0.05,0.72,,,15000.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-04.yaml
c04r02,exp-05,sft,completed,1,3,0,3,0,,1.65,2.21,2.93,2811,1,90000.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-05.yaml
c04r02,exp-06,sft,failed,0,3,0,3,1,False,4.25,0.94,3.87,1200,1,70000.0,iterate,True,"Card pitfalls/relock records an incomplete full-intent launch; aborted count is a known lower bound, not an exhaustive runtime census.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-06.yaml
c04r02,exp-07,sft,completed,1,4,0,4,0,,5.3,1.13,5.0,1406,1,45000.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-07.yaml
c04r02,exp-08,rft,completed,1,4,1,5,0,,6.75,0.78,5.78,527,1,16859.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-08.yaml
c04r02,exp-09,other,completed,0,4,1,5,0,,7.65,0.3,5.78,,,16859.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/task/memory/cards/exp-09.yaml
c04r03,exp-01,other,completed,0,0,0,0,0,,0.3,0.11,0.0,,,10.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686/task/memory/cards/exp-01.yaml
c04r03,exp-02,sft,completed,1,1,0,1,0,,0.8,1.34,1.34,940,1.0,142472.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686/task/memory/cards/exp-02.yaml
