cell,card,completed_supervised,completed_sft,family,n,score,evaluation_scope,final_judge_score,path
c03r07,exp-01,0,0,decode-config,150,0.04,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c03r07,exp-02,1,1,sft,150,0.6133,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c03r07,exp-03,1,1,decode-config,150,0.7267,declared_official,False,/home/ben/task/eval/exp-03_greedy_dev150.json
c03r07,exp-04,2,1,rft,150,0.7333,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c03r07,exp-05,3,2,sft,150,0.7933,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c03r07,exp-05,3,2,sft,150,0.8067,declared_official,False,/home/ben/task/eval/final_model_defaults.json
c03r07,exp-06,4,3,sft,150,0.7467,declared_official,False,/home/ben/task/eval/exp-06_dev150.json
c03r07,FINAL,4,3,official_final,1319,0.7505686125852918,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789/metrics.json
c03r08,exp-01,0,0,other,150,0.0533,declared_official,False,/home/ben/task/eval/base_dev150.json
c03r08,exp-02,1,1,sft,150,0.62,declared_official,False,/home/ben/task/eval/exp02_dev150.json
c03r08,exp-03,1,1,decode-config,150,0.7267,declared_official,False,/home/ben/task/eval/exp03_dev150.json
c03r08,exp-03,1,1,decode-config,150,0.72,declared_official,False,/home/ben/task/eval/exp03_dev150_rep2.json
c03r08,exp-04,2,2,sft,150,0.7267,declared_official,False,/home/ben/task/eval/exp04_dev150.json
c03r08,exp-05,4,2,rft,150,0.7733,declared_official,False,/home/ben/task/eval/exp05_dev150.json
c03r08,exp-06,4,2,merge,150,0.76,declared_official,False,/home/ben/task/eval/exp06_soup24_dev150.json
c03r08,exp-06,4,2,merge,150,0.76,declared_official,False,/home/ben/task/eval/exp06_soup245_dev150.json
c03r08,exp-06,4,2,merge,150,0.7667,declared_official,False,/home/ben/task/eval/final_model_dev150.json
c03r08,exp-06,4,2,merge,150,0.7667,declared_official,False,/home/ben/task/eval/final_model_defaults.json
c03r08,FINAL,4,2,official_final,1319,0.7210007581501138,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790/metrics.json
c01r01,exp-01,0,0,other,150,0.0667,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c01r01,exp-02,1,1,sft,150,0.7067,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c01r01,exp-03,1,1,decode-config,150,0.78,declared_official,False,/home/ben/task/eval/exp-03_dev150.json
c01r01,exp-04,2,1,rft,150,0.7533,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c01r01,exp-04,2,1,rft,150,0.7733,declared_official,False,/home/ben/task/eval/exp-04-ck325_dev150.json
c01r01,exp-05,2,1,other,500,0.788,declared_official,False,/home/ben/task/eval/exp-05-incumbent_dev500.json
c01r01,exp-05,2,1,other,500,0.75,declared_official,False,/home/ben/task/eval/exp-05-rftfinal_dev500.json
c01r01,exp-05,2,1,other,500,0.74,declared_official,False,/home/ben/task/eval/exp-05-ck325_dev500.json
c01r01,exp-06,2,1,decode-config,500,0.778,declared_official,False,/home/ben/task/eval/exp-06-ck704-greedy_dev500.json
c01r01,exp-07,3,2,sft,500,0.806,declared_official,False,/home/ben/task/eval/exp-07-final_dev500.json
c01r01,exp-07,3,2,sft,500,0.792,declared_official,False,/home/ben/task/eval/exp-07-ck302_dev500.json
c01r01,exp-08,3,2,other,1319,0.7877,declared_official,False,/home/ben/task/eval/exp-08-challenger_dev1319.json
c01r01,exp-08,3,2,other,1319,0.7551,declared_official,False,/home/ben/task/eval/exp-08-incumbent_dev1319.json
c01r01,exp-09,3,2,merge,1319,0.7786,declared_official,False,/home/ben/task/eval/exp-09-soup_dev1319.json
c01r01,FINAL,3,2,official_final,1319,0.7884761182714177,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/metrics.json
c01r02,exp-01,0,0,other,150,0.04,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c01r02,exp-02,1,1,sft,150,0.5933,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c01r02,exp-03,1,1,decode-config,150,0.7533,declared_official,False,/home/ben/task/eval/exp-03_dev150.json
c01r02,exp-04,2,2,sft,150,0.74,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c01r02,exp-05,3,2,rft,150,0.7733,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c01r02,exp-06,3,2,other,500,0.72,declared_official,False,/home/ben/task/eval/exp-06-rft_dev500.json
c01r02,exp-06,3,2,other,500,0.706,declared_official,False,/home/ben/task/eval/exp-06-sft1_dev500.json
c01r02,exp-06,3,2,other,150,0.7667,declared_official,False,/home/ben/task/eval/final_model_dev150.json
c01r02,FINAL,3,2,official_final,1319,0.7217589082638363,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r02_formal_r1/gsm8k_google_gemma-3-4b-pt_90565/metrics.json
c01r03,exp-01,0,0,other,150,0.08,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c01r03,exp-02,1,1,sft,150,0.6067,declared_official,False,/home/ben/task/eval/exp-02_final_dev150.json
c01r03,exp-02,1,1,sft,150,0.6067,declared_official,False,/home/ben/task/eval/exp-02_ep1_dev150.json
c01r03,exp-03,1,1,decode-config,150,0.72,declared_official,False,/home/ben/task/eval/exp-03_greedy_dev150.json
c01r03,exp-04,2,2,sft,150,0.7333,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c01r03,exp-05,3,3,sft,150,0.72,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c01r03,exp-06,4,3,rft,150,0.7533,declared_official,False,/home/ben/task/eval/exp-06_dev150.json
c01r03,FINAL,4,3,official_final,1319,0.7134192570128886,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r03_formal_r1/gsm8k_google_gemma-3-4b-pt_90566/metrics.json
c01r04,exp-01,0,0,other,150,0.04,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c01r04,exp-02,1,1,sft,150,0.7133,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c01r04,exp-03,1,1,decode-config,150,0.7,declared_official,False,/home/ben/task/eval/exp-03_dev150.json
c01r04,exp-04,2,2,sft,150,0.6267,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c01r04,exp-05,2,2,other,500,0.732,declared_official,False,/home/ben/task/eval/exp-05-a_dev500.json
c01r04,exp-05,2,2,other,500,0.718,declared_official,False,/home/ben/task/eval/exp-05-b_dev500.json
c01r04,exp-06,2,2,merge,500,0.718,declared_official,False,/home/ben/task/eval/exp-06_dev500.json
c01r04,exp-07,3,2,rft,500,0.728,declared_official,False,/home/ben/task/eval/exp-07_dev500.json
c01r04,exp-08,4,3,sft,500,0.73,declared_official,False,/home/ben/task/eval/exp-08_dev500.json
c01r04,FINAL,4,3,official_final,1319,0.7202426080363912,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r04_formal_r1/gsm8k_google_gemma-3-4b-pt_90567/metrics.json
c01r05,exp-01,0,0,other,200,0.065,declared_official,False,/home/ben/task/eval/exp-01_base_dev200.json
c01r05,exp-02,1,1,sft,200,0.69,declared_official,False,/home/ben/task/eval/exp-02_ep1_dev200.json
c01r05,exp-02,1,1,sft,200,0.77,declared_official,False,/home/ben/task/eval/exp-02_ep2_dev200.json
c01r05,exp-03,1,1,decode-config,200,0.815,declared_official,False,/home/ben/task/eval/exp-03_greedy_dev200.json
c01r05,exp-04,2,2,sft,200,0.82,declared_official,False,/home/ben/task/eval/exp-04_ep2_sampled_dev200.json
c01r05,exp-04,2,2,sft,200,0.81,declared_official,False,/home/ben/task/eval/exp-04_ep2_greedy_dev200.json
c01r05,exp-04,2,2,sft,200,0.785,declared_official,False,/home/ben/task/eval/exp-04_ep1_greedy_dev200.json
c01r05,exp-05,2,2,merge,600,0.8183,declared_official,False,/home/ben/task/eval/exp-05_soup_dev600.json
c01r05,exp-05,2,2,merge,600,0.8083,declared_official,False,/home/ben/task/eval/exp-05_exp03_dev600.json
c01r05,exp-05,2,2,merge,600,0.8283,declared_official,False,/home/ben/task/eval/exp-05_exp04_dev600.json
c01r05,exp-06,3,3,sft,600,0.8117,declared_official,False,/home/ben/task/eval/exp-06_dev600.json
c01r05,exp-07,3,3,other,1319,0.8226,declared_official,False,/home/ben/task/eval/exp-07_exp04_full1319.json
c01r05,exp-07,3,3,other,1319,0.8158,declared_official,False,/home/ben/task/eval/exp-07_soup_full1319.json
c01r05,exp-07,3,3,other,1319,0.8158,declared_official,False,/home/ben/task/eval/exp-07_exp06_full1319.json
c01r05,exp-07,3,3,other,1319,0.7839,declared_official,False,/home/ben/task/eval/exp-07_exp02_full1319.json
c01r05,exp-07,3,3,other,1319,0.8211,declared_official,False,/home/ben/task/eval/exp-07_final_model_full1319.json
c01r05,FINAL,3,3,official_final,1319,0.8157695223654283,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r05_formal_r1/gsm8k_google_gemma-3-4b-pt_90568/metrics.json
c01r06,exp-01,0,0,other,150,0.0333,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c01r06,exp-02,1,1,sft,150,0.78,declared_official,False,/home/ben/task/eval/exp-02_final_dev150.json
c01r06,exp-02,1,1,sft,500,0.798,declared_official,False,/home/ben/task/eval/exp-02_final_dev500.json
c01r06,exp-04,3,1,rft,500,0.826,declared_official,False,/home/ben/task/eval/exp-04_final_dev500.json
c01r06,exp-05,4,2,sft,500,0.82,declared_official,False,/home/ben/task/eval/exp-05_final_dev500.json
