cell,cohort,variant,accuracy,completed_supervised,completed_sft,completed_rft,completed_training_cards,aborted_full_intent_known,training_card_wall_h,manual_heldout_exposure,result_dir,manifest,spec
c03r05,R1 C-v2,Control,0.7414708112206216,3,2,1,3,1,5.08,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c03r06,R1 C-v2,Control,0.6497346474601972,3,2,1,3,0,4.54,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c03r07,R1 C-v2,Control,0.7505686125852918,4,3,1,4,0,6.48,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c03r08,R1 C-v2,Control,0.7210007581501138,4,2,2,3,0,6.05,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c01r01,R1 core,Control,0.7884761182714177,3,2,1,3,0,5.27,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c01r02,R1 core,Control,0.7217589082638363,3,2,1,3,2,3.8,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r02_formal_r1/gsm8k_google_gemma-3-4b-pt_90565,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c01r03,R1 core,Control,0.7134192570128886,4,3,1,4,1,4.26,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r03_formal_r1/gsm8k_google_gemma-3-4b-pt_90566,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c01r04,R1 core,Control,0.7202426080363912,4,3,1,4,0,5.63,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r04_formal_r1/gsm8k_google_gemma-3-4b-pt_90567,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c01r05,R1 core,Control,0.8157695223654283,3,3,0,3,1,6.71,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r05_formal_r1/gsm8k_google_gemma-3-4b-pt_90568,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c01r06,R1 core,Control,0.8081880212282032,4,2,2,3,0,6.1,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r06_formal_r1/gsm8k_google_gemma-3-4b-pt_90569,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c01r07,R1 core,Control,0.6808188021228203,3,2,1,3,1,4.65,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r07_formal_r1/gsm8k_google_gemma-3-4b-pt_90570,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c01r08,R1 core,Control,0.7695223654283548,3,2,1,3,1,4.41,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r08_formal_r1/gsm8k_google_gemma-3-4b-pt_90571,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w02r01,R1 B-v2,v0.2,0.7308567096285065,3,1,2,3,0,4.42,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2_w02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90606,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w02r02,R1 B-v2,v0.2,0.7210007581501138,2,1,1,2,0,3.17,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2_w02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90607,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w02r03,R1 B-v2,v0.2,0.6808188021228203,3,1,2,3,1,3.25,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2_w02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90608,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w02r04,R1 B-v2,v0.2,0.6611068991660348,3,2,1,3,2,4.81,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2_w02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90609,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w02r05,R1 B-v2,v0.2,0.7285822592873389,3,1,2,3,0,4.64,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2_w02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90610,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w04r01,R1 B-v3,v0.2,0.6679302501895376,3,2,1,3,0,4.7,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3_w04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90676,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w04r02,R1 B-v3,v0.2,0.7725549658832449,4,3,1,4,0,5.28,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3_w04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90677,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w04r03,R1 B-v3,v0.2,0.7892342683851402,3,2,1,3,2,5.12,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3_w04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90678,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w04r04,R1 B-v3,v0.2,0.7429871114480667,3,1,2,3,1,4.25,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3_w04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90679,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w04r05,R1 B-v3,v0.2,0.6921910538286581,3,1,2,3,0,4.29,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3_w04r05_formal_r4/gsm8k_google_gemma-3-4b-pt_90680,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w03r04,R1 C-v2,v0.2,0.6876421531463229,3,2,1,3,0,4.41,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-c-x8-v2_w03r04_formal_r3/gsm8k_google_gemma-3-4b-pt_90625,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w01r01,R1 core,v0.2,0.7854435178165277,4,4,0,4,2,6.96,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-x8-v1_w01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90556,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w01r02,R1 core,v0.2,0.7520849128127369,3,2,1,3,0,5.15,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-x8-v1_w01r02_formal_r1/gsm8k_google_gemma-3-4b-pt_90557,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w01r03,R1 core,v0.2,0.7338893100833965,4,4,0,4,0,5.61,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-x8-v1_w01r03_formal_r1/gsm8k_google_gemma-3-4b-pt_90558,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w01r04,R1 core,v0.2,0.7460197119029568,4,2,2,3,0,5.56,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-x8-v1_w01r04_formal_r1/gsm8k_google_gemma-3-4b-pt_90559,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w01r05,R1 core,v0.2,0.7975739196360879,4,3,1,4,0,5.7,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-x8-v1_w01r05_formal_r1/gsm8k_google_gemma-3-4b-pt_90560,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w01r06,R1 core,v0.2,0.7285822592873389,4,2,2,4,0,4.35,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-x8-v1_w01r06_formal_r1/gsm8k_google_gemma-3-4b-pt_90561,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w01r07,R1 core,v0.2,0.7164518574677786,5,5,0,5,1,7.22,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-x8-v1_w01r07_formal_r1/gsm8k_google_gemma-3-4b-pt_90562,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w01r08,R1 core,v0.2,0.7922668688400303,3,3,0,2,0,5.87,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-wma-x8-v1_w01r08_formal_r1/gsm8k_google_gemma-3-4b-pt_90563,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-wma-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w06r01,R2 blocking,A,0.6921910538286581,3,2,1,3,2,3.77,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-a-format-floor-x4-v2_w06r01_formal_r6/gsm8k_google_gemma-3-4b-pt_91002,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-a-format-floor-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w06r02,R2 blocking,A,0.7020470053070508,4,3,1,4,1,4.0,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-a-format-floor-x4-v2_w06r02_formal_r6/gsm8k_google_gemma-3-4b-pt_91003,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-a-format-floor-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w06r03,R2 blocking,A,0.7172100075815011,2,1,1,2,0,3.27,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-a-format-floor-x4-v2_w06r03_formal_r6/gsm8k_google_gemma-3-4b-pt_91004,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-a-format-floor-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w06r04,R2 blocking,A,0.6520090978013646,3,1,2,3,0,4.32,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-a-format-floor-x4-v2_w06r04_formal_r6/gsm8k_google_gemma-3-4b-pt_91005,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-a-format-floor-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w07r01,R2 blocking,A+B,0.7278241091736164,3,2,1,3,0,5.57,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-ab-format-floor-width-x4-v2_w07r01_formal_r7/gsm8k_google_gemma-3-4b-pt_91007,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-ab-format-floor-width-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w07r02,R2 blocking,A+B,0.7293404094010614,3,1,2,3,1,4.89,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-ab-format-floor-width-x4-v2_w07r02_formal_r7/gsm8k_google_gemma-3-4b-pt_91008,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-ab-format-floor-width-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w07r03,R2 blocking,A+B,0.714177407126611,3,3,0,3,0,5.26,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-ab-format-floor-width-x4-v2_w07r03_formal_r7/gsm8k_google_gemma-3-4b-pt_91009,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-ab-format-floor-width-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
